county,precinct,office,district,party,candidate,votes,early_voting,election_day
Fisher,1,Registered Voters - Total,,,,728,,
Fisher,1,President,,DEM,Martin J O'Malley,10,9,1
Fisher,1,President,,DEM,Bernie Sanders,42,17,25
Fisher,1,President,,DEM,Keith Judd,4,1,3
Fisher,1,President,,DEM,"Roque ""Rocky"" De La Fuente",2,0,2
Fisher,1,President,,DEM,Calvis L Hawes,0,0,0
Fisher,1,President,,DEM,Willie L Wilson,2,0,2
Fisher,1,President,,DEM,Hillary Clinton,41,15,26
Fisher,1,President,,DEM,Star Locke,1,1,0
Fisher,1,Railroad Commissioner,,DEM,Grady Yarbrough,41,19,22
Fisher,1,Railroad Commissioner,,DEM,Cody Garrett,45,20,25
Fisher,1,Railroad Commissioner,,DEM,Lon Burnam,9,2,7
Fisher,1,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,87,37,50
Fisher,1,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,83,33,50
Fisher,1,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,84,35,49
Fisher,1,"Judge, Court of Criminal Appeals Pl 2",,DEM,"Lawrence ""Larry"" Meyers",89,37,52
Fisher,1,"Judge, Court of Criminal Appeals Pl 5",,DEM,Betsy Johnson,86,35,51
Fisher,1,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,86,36,50
Fisher,1,Ref 1,,DEM,Yes,78,29,49
Fisher,1,Ref 1,,DEM,No,60,34,26
Fisher,1,Ref 2,,DEM,Yes,99,39,60
Fisher,1,Ref 2,,DEM,No,32,21,11
Fisher,1,Ref 3,,DEM,Yes,70,24,46
Fisher,1,Ref 3,,DEM,No,58,34,24
Fisher,1,Ref 4,,DEM,Yes,90,36,54
Fisher,1,Ref 4,,DEM,No,34,23,11
Fisher,1,Ref 5,,DEM,Yes,91,38,53
Fisher,1,Ref 5,,DEM,No,44,22,22
Fisher,1,Ref 6,,DEM,Yes,68,24,44
Fisher,1,Ref 6,,DEM,No,62,34,28
Fisher,4,Registered Voters - Total,,,,735,,
Fisher,4,President,,DEM,Martin J O'Malley,2,1,1
Fisher,4,President,,DEM,Bernie Sanders,33,14,19
Fisher,4,President,,DEM,Keith Judd,1,1,0
Fisher,4,President,,DEM,"Roque ""Rocky"" De La Fuente",5,2,3
Fisher,4,President,,DEM,Calvis L Hawes,0,0,0
Fisher,4,President,,DEM,Willie L Wilson,4,2,2
Fisher,4,President,,DEM,Hillary Clinton,54,30,24
Fisher,4,President,,DEM,Star Locke,1,1,0
Fisher,4,Railroad Commissioner,,DEM,Grady Yarbrough,34,19,15
Fisher,4,Railroad Commissioner,,DEM,Cody Garrett,39,18,21
Fisher,4,Railroad Commissioner,,DEM,Lon Burnam,4,2,2
Fisher,4,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,53,27,26
Fisher,4,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,58,30,28
Fisher,4,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,56,31,25
Fisher,4,"Judge, Court of Criminal Appeals Pl 2",,DEM,"Lawrence ""Larry"" Meyers",55,32,23
Fisher,4,"Judge, Court of Criminal Appeals Pl 5",,DEM,Betsy Johnson,53,30,23
Fisher,4,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,57,32,25
Fisher,4,Ref 1,,DEM,Yes,57,29,28
Fisher,4,Ref 1,,DEM,No,41,22,19
Fisher,4,Ref 2,,DEM,Yes,69,32,37
Fisher,4,Ref 2,,DEM,No,16,9,7
Fisher,4,Ref 3,,DEM,Yes,56,26,30
Fisher,4,Ref 3,,DEM,No,32,15,17
Fisher,4,Ref 4,,DEM,Yes,58,25,33
Fisher,4,Ref 4,,DEM,No,20,12,8
Fisher,4,Ref 5,,DEM,Yes,56,27,29
Fisher,4,Ref 5,,DEM,No,30,16,14
Fisher,4,Ref 6,,DEM,Yes,50,24,26
Fisher,4,Ref 6,,DEM,No,34,18,16
Fisher,10,Registered Voters - Total,,,,592,,
Fisher,10,President,,DEM,Martin J O'Malley,6,0,6
Fisher,10,President,,DEM,Bernie Sanders,30,9,21
Fisher,10,President,,DEM,Keith Judd,1,1,0
Fisher,10,President,,DEM,"Roque ""Rocky"" De La Fuente",1,0,1
Fisher,10,President,,DEM,Calvis L Hawes,1,1,0
Fisher,10,President,,DEM,Willie L Wilson,1,0,1
Fisher,10,President,,DEM,Hillary Clinton,40,8,32
Fisher,10,President,,DEM,Star Locke,3,0,3
Fisher,10,Railroad Commissioner,,DEM,Grady Yarbrough,34,10,24
Fisher,10,Railroad Commissioner,,DEM,Cody Garrett,27,5,22
Fisher,10,Railroad Commissioner,,DEM,Lon Burnam,7,0,7
Fisher,10,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,63,14,49
Fisher,10,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,63,14,49
Fisher,10,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,66,14,52
Fisher,10,"Judge, Court of Criminal Appeals Pl 2",,DEM,"Lawrence ""Larry"" Meyers",63,14,49
Fisher,10,"Judge, Court of Criminal Appeals Pl 5",,DEM,Betsy Johnson,61,14,47
Fisher,10,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,62,13,49
Fisher,10,Ref 1,,DEM,Yes,64,13,51
Fisher,10,Ref 1,,DEM,No,35,12,23
Fisher,10,Ref 2,,DEM,Yes,83,19,64
Fisher,10,Ref 2,,DEM,No,10,5,5
Fisher,10,Ref 3,,DEM,Yes,66,12,54
Fisher,10,Ref 3,,DEM,No,26,12,14
Fisher,10,Ref 4,,DEM,Yes,69,16,53
Fisher,10,Ref 4,,DEM,No,17,5,12
Fisher,10,Ref 5,,DEM,Yes,67,18,49
Fisher,10,Ref 5,,DEM,No,28,5,23
Fisher,10,Ref 6,,DEM,Yes,62,13,49
Fisher,10,Ref 6,,DEM,No,36,10,26
Fisher,12,Registered Voters - Total,,,,689,,
Fisher,12,President,,DEM,Martin J O'Malley,2,0,2
Fisher,12,President,,DEM,Bernie Sanders,34,4,30
Fisher,12,President,,DEM,Keith Judd,0,0,0
Fisher,12,President,,DEM,"Roque ""Rocky"" De La Fuente",1,1,0
Fisher,12,President,,DEM,Calvis L Hawes,0,0,0
Fisher,12,President,,DEM,Willie L Wilson,3,1,2
Fisher,12,President,,DEM,Hillary Clinton,73,15,58
Fisher,12,President,,DEM,Star Locke,0,0,0
Fisher,12,Railroad Commissioner,,DEM,Grady Yarbrough,44,10,34
Fisher,12,Railroad Commissioner,,DEM,Cody Garrett,45,7,38
Fisher,12,Railroad Commissioner,,DEM,Lon Burnam,9,3,6
Fisher,12,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,78,17,61
Fisher,12,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,81,17,64
Fisher,12,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,78,17,61
Fisher,12,"Judge, Court of Criminal Appeals Pl 2",,DEM,"Lawrence ""Larry"" Meyers",79,17,62
Fisher,12,"Judge, Court of Criminal Appeals Pl 5",,DEM,Betsy Johnson,78,17,61
Fisher,12,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,77,17,60
Fisher,12,Ref 1,,DEM,Yes,87,19,68
Fisher,12,Ref 1,,DEM,No,19,4,15
Fisher,12,Ref 2,,DEM,Yes,83,17,66
Fisher,12,Ref 2,,DEM,No,11,4,7
Fisher,12,Ref 3,,DEM,Yes,71,14,57
Fisher,12,Ref 3,,DEM,No,22,8,14
Fisher,12,Ref 4,,DEM,Yes,77,17,60
Fisher,12,Ref 4,,DEM,No,17,6,11
Fisher,12,Ref 5,,DEM,Yes,72,11,61
Fisher,12,Ref 5,,DEM,No,23,10,13
Fisher,12,Ref 6,,DEM,Yes,60,10,50
Fisher,12,Ref 6,,DEM,No,36,11,25
Fisher,1,President,,REP,Mike Huckabee,2,1,1
Fisher,1,President,,REP,Jeb Bush,1,1,0
Fisher,1,President,,REP,Marco Rubio,13,7,6
Fisher,1,President,,REP,Ted Cruz,61,17,44
Fisher,1,President,,REP,Chris Christie,0,0,0
Fisher,1,President,,REP,Rick Santorum,0,0,0
Fisher,1,President,,REP,Carly Fiorina,0,0,0
Fisher,1,President,,REP,Rand Paul,0,0,0
Fisher,1,President,,REP,Ben Carson,9,5,4
Fisher,1,President,,REP,Lindsey Graham,0,0,0
