county,precinct,office,district,party,candidate,votes,early_voting,election_day
Medina,1A,Registered Voters - Total,,,,1249,,
Medina,1A,President,,REP,Carly Fiorina,1,1,0
Medina,1A,President,,REP,Rick Santorum,0,0,0
Medina,1A,President,,REP,Marco Rubio,82,52,30
Medina,1A,President,,REP,Rand Paul,2,0,2
Medina,1A,President,,REP,Mike Huckabee,1,1,0
Medina,1A,President,,REP,Elizabeth Gray,0,0,0
Medina,1A,President,,REP,Chris Christie,0,0,0
Medina,1A,President,,REP,Jeb Bush,13,12,1
Medina,1A,President,,REP,Ted Cruz,264,164,100
Medina,1A,President,,REP,Lindsey Graham,0,0,0
Medina,1A,President,,REP,Ben Carson,30,23,7
Medina,1A,President,,REP,Donald J. Trump,178,121,57
Medina,1A,President,,REP,John R. Kasich,9,5,4
Medina,1A,President,,REP,Uncommitted,13,9,4
Medina,1A,President,,DEM,Willie L. Wilson,0,0,0
Medina,1A,President,,DEM,Star Locke,0,0,0
Medina,1A,President,,DEM,Hillary Clinton,28,16,12
Medina,1A,President,,DEM,Keith Judd,0,0,0
Medina,1A,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Medina,1A,President,,DEM,Martin J. O'Malley,0,0,0
Medina,1A,President,,DEM,Calvis L. Hawes,0,0,0
Medina,1A,President,,DEM,Bernie Sanders,17,9,8
Medina,1A,U.S. House,23,REP,"William ""Hart"" Peterson",69,43,26
Medina,1A,U.S. House,23,REP,Will Hurd,483,330,153
Medina,1A,U.S. House,23,DEM,Lee Keenen,9,5,4
Medina,1A,U.S. House,23,DEM,Pete P. Gallego,34,20,14
Medina,1A,Railroad Commissioner,,REP,Gary Gates,149,107,42
Medina,1A,Railroad Commissioner,,REP,John Greytok,16,12,4
Medina,1A,Railroad Commissioner,,REP,Weston Martinez,29,18,11
Medina,1A,Railroad Commissioner,,REP,Ron Hale,53,28,25
Medina,1A,Railroad Commissioner,,REP,Lance N. Christian,57,37,20
Medina,1A,Railroad Commissioner,,REP,Doug Jeffrey,33,22,11
Medina,1A,Railroad Commissioner,,REP,Wayne Christian,111,79,32
Medina,1A,Railroad Commissioner,,DEM,Lon Burnam,9,7,2
Medina,1A,Railroad Commissioner,,DEM,Grady Yarbrough,14,7,7
Medina,1A,Railroad Commissioner,,DEM,Cody Garrett,11,7,4
Medina,1A,"Justice, Supreme Court Place 3",,REP,Debra Lehmann,315,216,99
Medina,1A,"Justice, Supreme Court Place 3",,REP,Micahel Massengale,166,110,56
Medina,1A,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,33,20,13
Medina,1A,"Justice, Supreme Court Place 5",,REP,Rick Green,254,161,93
Medina,1A,"Justice, Supreme Court Place 5",,REP,Paul Green,203,147,56
Medina,1A,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,31,21,10
Medina,1A,"Justice, Supreme Court Place 9",,REP,Joe Pool,276,185,91
Medina,1A,"Justice, Supreme Court Place 9",,REP,Eva Guzman,193,126,67
Medina,1A,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,32,19,13
Medina,1A,"Judge, Court of Criminal Appeals Place 2",,REP,Ray Wheless,145,98,47
Medina,1A,"Judge, Court of Criminal Appeals Place 2",,REP,Mary Lou Keel,192,135,57
Medina,1A,"Judge, Court of Criminal Appeals Place 2",,REP,Chris Oldner,90,54,36
Medina,1A,"Judge, Court of Criminal Appeals Place 2",,DEM,"Lawerence ""Larry"" Meyers",32,19,13
Medina,1A,"Judge, Court of Criminal Appeals Place 5",,REP,Scott Walker,202,127,75
Medina,1A,"Judge, Court of Criminal Appeals Place 5",,REP,Brent Webster,51,42,9
Medina,1A,"Judge, Court of Criminal Appeals Place 5",,REP,Steve Smith,86,54,32
Medina,1A,"Judge, Court of Criminal Appeals Place 5",,REP,Sid Harle,114,82,32
Medina,1A,"Judge, Court of Criminal Appeals Place 5",,DEM,Betsy Johnson,33,20,13
Medina,1A,"Judge, Court of Criminal Appeals Place 6",,REP,Richard Davis,236,156,80
Medina,1A,"Judge, Court of Criminal Appeals Place 6",,REP,Michael E. Keasler,189,130,59
Medina,1A,"Judge, Court of Criminal Appeals Place 6",,DEM,Robert Burns,32,20,12
Medina,1A,"Member, State Board of Education Dis. 1",,DEM,Georgina Perez,15,11,4
Medina,1A,"Member, State Board of Education Dis. 1",,DEM,Lynn Oliver,16,8,8
